url,article_text,dates
https://www.dr.dk/nyheder/penge/c20-faldt-15-procent,"C20 dykkede 1,5 procent til 411,3 med Novo Nordisk som stor taber. Pænt regnskab fra Danske Bank Danske Bank faldt 2,7 procent til 144,5. Aktien startede dagen godt med en 2,2 procents stigning efter et pænt halvårsregnskab, men stemningen vendte dog i den sene handel. Overskuddet faldt med knapt 23 procent til 7,78 milliarder før skat i forhold til samme periode sidste år. Resultatet var dog stadigvæk bedre end analytikerne havde ventet. Novo Nordisk dykkede Novo Nordisk faldt 5 procent til kurs 303 på trods af en opjustering af indtjeningsprognosen til 22-25 procent inklusiv valutaeffekten i koncernens halvårsregnskab. Koncernens salg i Nordamerika steg 21 procent i lokal valuta mod en stigning i første kvartal på 27 procent. Analytikerne havde ventet et endnu bedre regnskab, derfor faldt Novo Nordisk. Stigninger til Vestas og SAS Vestas steg 4,5 procent til 607 efter de stigende oliepriser, mens SAS steg 3,8 procent til 38,5 efter at have fremlagt trafiktal fra juli..",2008-08-07T15:25:00+00:00
https://www.dr.dk/nyheder/penge/c20-aabner-positivt,"A.P. Møller - Mærsk åbnede 2,1 procent højere i kurs 49.300. Røster i aktiemarkedet mener, at stigningen skyldes en ny positiv analyse fra investeringsbanken Carnegie, der også har været aktiv på købssiden fra morgenstunden. Samtidig var der godt nyt for raterne for containerfragt til Indien fra Nordeuropa, Storbritannien, Skandinavien og Baltikum, da de stiger med 10-15 procent fra oktober. Carlsberg åbnede 0,3 procent højere i kurs 461,5. Den hollandske konkurrent Heineken gentog de tidligere opjusterede forventninger til helåret 2006 i sin regnskabspræsentation for første halvår. Bryggeriet betegner væksten i det russiske marked, hvor Carlsberg også operer, som sundt og målsætningen er at nå en markedsandel på 20 procent i Rusland i løbet af fem til seks år fra de nuværende 16 procent. Novo Nordisk åbnede 0,6 procent højere i kurs 422. Biotekselskabet ZymoGenetics som Novo Nordisk ejer 30 procent af, har afsluttet et fase 3-forsøg med stoffet rhThrombin til brug mod blødning ved kirurgiske indgreb. Resultaterne præsenteres på en konference d. 17. september. Vestas åbnede 0,3 procent højere i kurs 164,8. Vindmølleproducenten blev tirsdag handlet lavere efter at salget af sin andel på cirka 49 procent i Vestas RRB India. Bang & Olufsen åbnede 0,1 procent lavere i kurs 600. Den tyske konkurrent Telefunken planlægger et snarligt indtog på det nordiske marked, hvor dyre og avancerede produkter vil tage kampen op med B&O. DFDS lå uændret i kurs 490. DFDS Seaways har købt passagerskibet m.s. Fjord Norway. Skibet vil i starten af november blive indsat på Fjordlines tidligere rute Bergen-Haugesund-Stavanger-Newcastle, som er en ny rute for DFDS Seaways. Det er aftalt ikke at offentliggøre salgs-/købspris for skibene, og købet samt salget får ingen væsentlig indflydelse på DFDS' forventede årsresultat for 2006, anfører rederiet. Brdr. Hartmann åbnede 0,5 procent lavere i kurs 210. Lønmodtagernes Dyrtidsfond vil bruge en ny bestyrelsespost i emballageselskabet til at skabe bedre indtjening. Ophævelse af de kritiserede aktieklasser er anden prioritet. Victoria Properties steg 9,0 procent til kurs 260, og var højdespringer i den tidlige handel. Kilde: RB-Børsen",2006-09-06T07:47:06+00:00
https://www.dr.dk/nyheder/penge/c20-faldt,"C20 indekset endte 0,6 procent lavere Indekset endte i 379,67. efter fald i DSV og Vestas. Blandt sidepapirerne faldt Maconomy og Neurosearch begge på regnskabsfremlæggelser. DSV faldt på regnskab Aktien faldt 1,6 procent til kurs 966. I forbindelse med regnskabspræsentationen hævede DSV sine forventninger til synergieffekterne fra opkøbte Frans Maas med 50 millioner kroner til 450 millioner kroner Synergieffekterne ventes at have fuld effekt i år 2008. Vejtransportkoncernen skuffede investorerne lidt på indtjeningssiden, mens omsætningen lå marginalt over analytikernes forventninger. Vestas faldt på forventninger Vestas faldt 2,2 procent til kurs 169,3. Vindmølleproducenten fik sent onsdag en ordre på 33 V90 møllertil fire vindkraftprojekter i Frankrig. Leveringen begynder i 2007 og får dermed ingen effekt på 2006-regnskabet, hvor investorerne torsdag får indsigt i de første seks måneder. Og det var de blandede forventninger til regnskabet, der udløste faldet. ØK var dagens højdespringer Aktien steg 2,6 procent til kurs 247 uden nyheder fra selskabet via Københavns Fondsbørs. Fald i sidepapirerne Maconomy lukkede 3,3 procent. lavere i kurs 11,7. Softwareselskabet har mere end fordoblet salget af softwarelicenser i første halvår, mens salget i USA var ""ikke tilfredsstillende"". Vicesalgsdirektør Mads Skalbo har valgt at fratræde sin stilling. Maconomy fastholder prognosen for helåret 2006, da væksten i andet halvår ventes lavere. Neurosearch falder stadig Biotekaktien faldt 2,8 procent til kurs 192. Første halvår gav et underskud på 98,5 millioner kroner før skat mod et overskud sidste år. Neurosearch forventer fortsat et underskud omkring 110-130 millioner kroner for hele året, men forventningerne vil blive ændret, hvis købet af svenske A. Carlsson Research gennemføres. Købet af svenske A. Carlsson Research til en pris op mod 707 millioner kroner er et godt strategisk match, men det er for tidligt at vurdere, om prisen er den rigtige, mener analytiker Annette Rye Larsen fra Gudme Raaschou.",2006-08-23T15:36:39+00:00
https://www.dr.dk/nyheder/penge/tung-morgen-c20,"Faldet i A.P. Møller-Mærsk fortsatte her til morgen i kølvandet af gårsdagens nedjustering. Rederiaktien blev til morgen handlet 0,7 procent lavere i kurs 42.800, efter at være styrtdykket lidt over ni procent i går. Jyske Bank mener, at tirsdagens markante kursfald i APM ikke var nok. - Mærsk falder kun knap 10 procent i går på problemerne, mens en aktie som Danisco for nylig faldt tilsvarende på lidt skuffende forventninger. Det er bare et eksempel, men det virker som om nogen holder hånden under Mærsk-aktien, sagde Rune Møller til RB-Børsen. Ændringer i anbefalinger Nogen af de første udmeldinger kom fra Morgan Stanley, som ikke ville ændre sin salgsanbefaling ""underperform"". Finanshuset venter, at markedet står over for en to-årig cyklisk nedgang. I modsatte grøft var franske Credit Agricole Cheuvreux, som gentog sin købsanbefaling ""outperform"". Inden onsdagens markedsåbning nedjusterede Alm. Brand A. P. Møller-Mærsk til ""reducer"" fra ""akkumuler"", med en fair pris for aktien på 40.000 kroner Erhvervsbanken FIH revurderede tirsdagens melding om, at ""bunden var nået"" for APM aktien, men fastholdt et optimistisk syn på rederiaktien med en ny fair pris på 50.000-55.000 kroner Sukker og medicin åbner i minus Danisco blev efter onsdagens åbning handlet 0,6 procent lavere i kurs 410. Den søde aktie faldt mere i smag hos analytikerne onsdag, da det hollandske finanshus ABN Amro hævede sin anbefaling til ""hold"" fra ""sælg"". Lundbeck tabte onsdag 1,7 procent, da den blev handlet til kurs 134. Medicinalaktien var største gårsdagens højdespringer i det tyngede C20-indeks. Medicinalkoncernen fik tirsdag anbefalingen ""overvægt"" samt kursmålet 155 af JP Morgan. Finanshuset mener, at Lundbeck er det næstbilligste midcap-medicinalselskab i Europa og vurderer, at selskabet i pipelinen har to medikamenter med markante markedsmuligheder. Codan på akkumuler Codan blev onsdag handlet 0,4 procent lavere til kurs 411. Forsikringsaktien blev, inden åbningstid, opjusteret til ""akkumuler"" fra ""reducer"" af analytikerne Mikael Hallåker og Matti Ahokas fra Handelsbanken. Samtidig hævede de kursmålet til 450 fra 400. Revurderingen kommer efter de tiltag, forsikringskoncernen foretog i sidste uge. - Det er klart et skridt i den rigtige retning, selvom der sandsynligvis vil være behov for yderligere besparelser for at nå omkostningsniveauet for sammenlignelige selskaber, skrev analytikerne. Novo Nordisk åbnede onsdag 0,4 procent lavere i kurs 355. Den danske medicinalkoncern vandt tirsdag Levemir-sagen mod Sanofi Aventis. Retssagen, startet af franske Sanofi Aventis, blev fra flere sider set som et forsøg på at skabe tvivl om Levemir, og derigennem forsinke Novos langtidsvirkende insulinanalog indhug i det franske selskabs salg af den tilsvarende analog, Lantus på det amerikanske marked. Novo Nordisks ledelse har interne mål om, at Levemir skal kapre over 50 procent af det amerikanske marked for langtidsvirkende insulinanaloger inden for seks-syv år. Ejendomsselskabet Keops meddeler, at selskabet har opkøbt en ejendomsportefølje med 172 ejendomme for 5,4 milliarder kroner. Keops åbnede uændret i 21,6 kroner. Kilde: RB-Børsen",2006-06-28T07:57:24+00:00
https://www.dr.dk/nyheder/penge/danske-bank-trak-c20,"Dagen bød på kraftig fremgang for det danske eliteindeks C20, som steg 0,8 procent til 418,92. C20 holdt sig dermed i front for de europæiske indeks. Danske Bank trak C20 højere, da storbanken opjusterede helårsforventningerne i sin regnskabspræsentation kort før middag. A.P. Møller-Mærsk og Novo Nordisk leverede ligeledes pæn fremgang. Dansk Bank overgik forventninger Danske Bank lukkede 2,1 procent højere i kurs 245 kroner efter dagens regnskabsmeddelelse. Opgørelsen efter tredje kvartal gav et resultatet på 13,61 milliarder kroner før skat. Analytikerne havde ventet et resultat i underkanten af 13 milliarder kroner Dermed overgik Danske Bank forventningerne, og banken kunne med rette opjustere helårsforventningerne. - Det er lidt bedre end ventet på renteindtægter og handel, og lidt dårligere på gebyrindtægterne, men alt i alt et godt regnskab med pil op, sagde Sydbanks aktieanalysechef, Bjørn Schwartz, til RB-Børsen. Fremgang til Novo Nordisk Novo Nordisk lå stabilt hele dagen og endte med en fremgang på 0,7 procent til kurs 441. Den franske konkurrent Sanofi-Aventis aflagde tirsdag morgen et skuffende ni-månedersregnskab, og den franske aktie faldt dermed godt 4 procent Vestas sluttede tirsdagen med et fald på -0,5 procent trods meddelelsen om ny ordre på 103 møller fra kinesiske Longyuan. - Longyuan er den største udvikler og ejer af vindmøller i Kina, så vi ser ordren som ganske betydelig. Det vigtigste er, at Longyuan har bestilt V80-møllerne, som vi skal bygge vores forretning i Kina på i fremtiden, sagde Thorbjørn Rasmussen til RB-Børsen. Lempede regler til transportbranchen Vejtransportkoncernen DSV endte med en fremgang på godt 3,1 procent til kurs 1079. Repræsentanter for arbejdsgiverne i transportbranchen mødtes i dag med Justitsministeriet, for at diskutere de nye sanktioner i forhold til overtrædelse af køre- og hviletidsreglerne. Forud for mødet havde topchefen for Danmarks største transportselskab DSV karakteriseret lovgivningen som helt uden fornuft. - Myndighederne har en overordentlig striks adfærd, så det næsten mister fornuft og balance, sagde DSV's administrerende direktør Kurt K. Larsen til RB-Børsen. Justitsminister Lene Espersen lempede reglerne, dog uden at stille chaufførerne tilfredse. Blandt sidepapirerne fastholdt rederiet DFDS en pæn stigning tirsdag og sluttede i 1,5 procent i kurs 619. Aktien tordnede tirsdag morgen frem med en stigning på op mod 6 procent efter finanshuset S Equity Research anbefalede ""stærkt køb"". Dog tabte aktien lidt af pusten, efter Danske Equities' sænkede anbefaling af aktien fra ""køb"" til ""hold"" med en fair værdi på 600 kroner Sjælsø Gruppen endte i kurs 1690 med en stigning på knap 5,3 procent Ved fremlæggelse af markedsopdatering fastholdt Sjælsø Gruppen forventningerne til årsregnskabet, trods temposkiftet på boligmarkedet.",2006-10-31T16:40:00+00:00
https://www.dr.dk/nyheder/penge/carlsberg-straffet-c20-stiger,"Investorerne skar prompte toppen af Carlsbergs markedsværdi efter bryggerikoncernens årsregnskabspræsentation tirsdag, da prognoserne for 2006 skuffede. I indeværende år venter Carlsberg et resultat af primær drift i niveauet 3,55 milliarder kroner, hvor analytikerne havde spået om en driftsindtjening på 3,7 milliarder kroner. Aktieboks: OMXC20 Carlsbergs andel af koncernresultatet ventes at stige med cirka 10 procent i forhold til 2005, da det var 1,1 milliarder kroner, mens analytikerne her venter et overskud på 1,6 milliarder kroner Det viser medianen af RB-Børsens rundspørge til 10 analytikere forud for årsregnskabet. Også udviklingen i Vesteuropa går i den forkerte retning. Skuffet over regnskab - Udviklingen i Vesteuropa skuffer markant, og et så markant fald i overskudsgraden er ikke tilfredsstillende, siger Lars Villadsen til RB-Børsen. Han konstaterer, at det er afgørende, hvad Carlsberg oplyser nærmere om problemerne i Vesteuropa. Dermed blev Carlsberg hægtet af kollegaerne i OMXC20, der over en bred kam viste gode takter med A.P. Møller-Mærsk og TrygVesta i front. C20 steg 0,4 procent til 393,5, mens Carlsberg-aktien faldt 2,4 procent til 373,00. Store forventninger til dansk olie APM aktionærerne kunne notere en stigning på 1 procent til 59.300. Der skjuler sig enorme mængder olie i den danske sektor, der kan hentes op, hvis der forskes i nye teknologier. Det siger professor ved Danmarks Tekniske Universitet, Erling H. Stenby, til JydskeVestkystens erhvervsredaktion tirsdag. Det kan blive til 1000 milliarder kroner, hvis indvindingen øges fra 30 til 50 procent, inden udnyttelsen fra Nordsø-felterne indstilles, skriver JydskeVestkysten. Forsikringskoncernen TrygVesta åbnede 1 procent højere i 349,00, da selskabet efter lukketid mandag fik løftet sit kursmål til 380 fra 350 hos finanshuset Standard & Poor's, der fastholder sin købsanbefaling af TrygVesta. SAS falder efter stævning Luftfartsselskabet SAS kunne notere et fald på 1,3 procent til 79,50, efter at pilotforeningen i Danmark mener, at SAS direkte spekulerer i ulovligheder. Den udmelding kommer piloterne med, efter SAS sammen med otte andre luftfartsselskaber blev stævnet i USA mandag for at have samarbejdet om at koordinere gebyrer på brændstof og forsikringer i forbindelse med priserne på luftfragt. Sydbank fik ikke den bedste start på dagen med et fald på 2 procent til 172,00 efter sin årsregnskabspræsentation, der indeholdt et basisresultat på 1170 millioner kroner, hvor den regionale bank tidligere havde skønnet at basisresultatet ville ligge mellem 1050-1150 millioner kroner Banken anser regnskab for helåret som særdeles tilfredsstillende. Sydbank venter et basisresultat i 2006 mellem 875-1025 millioner kroner.",2006-02-21T08:47:00+00:00
https://www.dr.dk/nyheder/penge/c20-endte-i-lille-minus,"Det danske aktiemarked blev i dag påvirket af den negative stemning på de globale markeder, og kvartalsregnskabet fra Nordea understøttede den negative stemning. C20-indekset faldt 0,81 procent til 399,25. Aktieboks: Nordea faldt i dag Aktier i Nordea faldt 2,61 procent til 74,50, da bankens regnskabstal vidnede om, at virksomheden har svært ved at styre omkostningerne. Nordea fastholder forventningerne til 2006 om en forskel på mere end 5 procentpoint i væksten mellem indtægterne og omkostningerne. Banken ser dog en moderat stigning i omkostningerne i 2006 på linje med udviklingen i første kvartal på 3 procent Det er en fravigelse fra tidligere udmelding om nul omkostningsvækst frem til 2007. Regnskabet fra Nordea viste et bedre resultat end ventet, men kvaliteten af indtjeningen kunne være bedre. - Bundlinien er bedre end ventet, men handelsindtægterne trækker opad. Udgifterne stiger 3 procent, men det er stadig flot når toplinien steg 11 procent, siger Torsten Bech Jensen til RB-Børsen. GN Store Nord på minussiden GN Store Nord begyndte og endte dagen i negativt terræn og lukkede 5,01 procent lavere i 80,50, da svage prognoser fra konkurrenten Plantronics skabte usikkerhed for headsetbranchen. Plantronics-aktien blev slagtet på børsen i New York med et fald på mere end 25 procent. Ifølge Danske Equities lover de dårlige Plantronics udsigter ikke godt for GN Store Nord. I modsatte grøft bemærkede analytiker Klaus Madsen fra Handelsbanken, at Plantronics aftagende vækstrate inden for kategorien meget vel kan være en konsekvens af, at GN tager markedsandele. Klaus Madsen gentog sin købsanbefaling på GN-aktien. De cykliske aktier fra A.P. Møller-Mærsk faldt 1,74 procent til lukkekurs 50.800, da rederiaktierne blev trukket lavere i i dagens sene handel. Vestas og Danske Bank endte i plus Vestas-aktien vekslede tab til et plus på 0,89 procent og lukkede i 170,75, da den amerikanske energiproducent FPL Group vil udvide sin vindenergiproduktion med 760 megawatt i 2006. - Det kan meget vel betyde nye ordrer for Vestas, der tidligere har leveret til FPL, vurderer analytiker Henrik Breum fra Danske Equities. Aktierne i Danske Bank kunne kun mande sig op til en lille stigning på 0,21 procent til 239,75 trods flotte kommentarer fra analytikerkredse efter gårsdagens regnskabspræsentation. Handelsbanken og Alfred Berg ABN Amro har hævet deres kursmål af Danske Bank, mens Standard & Poor's Equity Research fastholder en stærk købsanbefaling og et kursmål på 285 kroner Genencor skaber plus De enzymproducerende virksomheder Danisco og Novozymes lå også med plusser. Novozymes steg 0,75 procent til kurs 467,50, mens Danisco-aktien vandt 0,39 procent til kurs 516, efter nyheden om, at den Danisco-ejede amerikanske enzym-virksomhed Genencor er gået ind i et fransk ethanolprojekt sponsoreret af den franske stat. Samtidig får de tårnhøje oliepriser nu Novozymes til at geare aktiviteterne op i Nordamerika. Biotekselskabet Genmab fastholdt sent i går sin resultatprognose for 2006 efter regnskabet for første kvartal. Genmab-aktien lukkede 1,88 procent højere i kurs 216,50. Color Print opjusterer forventningerne til regnskabsåret 05/06 markant til 50 millioner kroner før skat fra 37-40 millioner kroner. Det sendte Trykkerivirksomhedens aktier 10 procent højere i lukkekurs 550.",2006-05-03T15:21:00+00:00
https://www.dr.dk/nyheder/penge/c20-aabnede-postivt,"FLSmidth indtog her til morgen scenen med en opjustering af indtjeningsforventningerne til 2006. Det gav FLS-aktien et solidt afsæt til dagens handel. C20-indekset åbnede 0,7 pct. højere i rekord 468,82. Blandt sidepapirerne kom Bavarian i centrum grundet et forlist samarbejde med den britiske medicinalgigant GlaxoSmithKline. Bedre end forventet FLSmidth hævede fredag morgen forventningerne til helåret 2006. Driftsindtjeningen blev hævet til 775 mio. kr. fra 650-700 mio. kr. Omsætningsprognosen blev sænket til 12,3 mia. kr. fra 12,5-13,5 mia. kr. Det er gået bedre end ventet inden for samtlige forretningsområder, men det er primært bedre ordreafvikling samt øget salg inden for mineraler, der fører til det højere driftsresultat, skrev FLSmidth. FLSmidth åbnede 3,9 pct. højere i kurs 403. Stor ordre Vestas begyndte med en ordreannoncering. Vindmølleproducenten har modtaget en stor kinesisk ordre. Selskabet skal levere 220 stk. V52-850 kW vindmøller. Vestas oplyste, at ordren ikke påvirker koncernens forventninger til 2007. Leveringen begyndes i efteråret 2007. Værdien af den kinesiske ordre kan anslås til 1,2-1,3 mia. kr. Det vurderede analytiker Henrik Breum fra Danske Equities til RB-Børsen. Vestas åbnede 2,9 pct. højere i kurs 269. Danske Bank, som aflagde helårsregnskab onsdag, fik opløftende nyt fra Alm. Brand. Finanshuset gentog fredag morgen sin købsanbefaling på Danske Bank, efter at have nærlæst storbankens regnskabstal for 2006. Alm. Brand hævede kursmålet til 300 kr. fra 290 kr. Analytiker Ricky Steen Rasmussen hæftede sig ved, at kvaliteten i indtjening var klart bedre end ventet. Danske Banks overskud lå stort set på linje med Alm. Brands prognose, men over konsensusestimatet. Danske Bank åbnede 0,2 pct. højere i kurs 264. Bavarian Nordic og GlaxoSmithKline har ophævet samarbejdsaftalen, meddelte Bavarian Nordic. Afbrydelsen af samarbejdet omfattede stoffet Imvamune, og det får ifølge Bavarians ledelse ingen negative økonomiske konsekvenser. Bavarian tabte 1,3 pct. til kurs 548.",2007-02-02T09:00:00+00:00
https://www.dr.dk/nyheder/penge/aktier-apm-pressede-c20,"Sur stemning på børsen A.P. Møller-Mærsk (APM) lukkede 1,9 procent lavere i 52.900, mens vejtransportaktien DSV lukkede 2,3 procent lavere i kurs 969, da den sure stemning tyngede transportaktierne. Carnegie og Jyske Bank ser ikke med samme øjnene på APMs kommende markedsopdatering. Carnegie gentog sin købsanbefaling, idet finanshuset minimum venter en gentagelse af helårsforventningerne på torsdag. I modsatte grøft findes Jyske Bank, som stadig ser risiko for en nedjustering. Hos Jyske Bank er analytiker Michael Nielsen ikke sikker på, at koncernen fastholder forventningerne. Carlsberg tabte 0,9 procent til kurs 525. Alm. Brand Henton ændrede sin anbefaling på bryggerikoncernen til neutral fra køb, efter at Carlsberg-aktien har leveret kursfremgang den seneste tid. Storbanken Danske Bank tabte 2,1 procent til kurs 237. Forsikringsaktierne lå også i bunden med betydelige tab. TrygVesta tabte 1,7 procent til kurs 407,5, mens Topdanmark tabte 1,7 procent til kurs 883. Vestas gik mod trenden Vestas lukkede 2,4 procent højere i kurs 215. Den spanske energigigant Iberdrola oplyser, at den har købt britiske Scottish Power. Scottish Power har gennem årene været en stor kunde hos den danske vindmøllekoncern Vestas, mens Iberdrola ejer 25 procent af Vestas-konkurrenten Gamesa. Iberdrola købte i oktober vindmøller fra Gamesa til en værdi af 4 milliarder dollar og Gemesa fik dermed fyldt ordrebøgerne. Vestas Mediterranean West direktør Ebbe Funk ser store muligheder i handlen. - Du kan ikke blive nummer et i verden med hensyn til udvikling af vindparker, hvis ikke du får Vestas ind i din portefølje. Det tror jeg ikke, sagde Ebbe Funk i sidste uge til RB-Børsen, da købstilbuddet var på trapperne.",2006-11-28T16:25:00+00:00
https://www.dr.dk/nyheder/penge/c20-i-ny-rekord,"C20 steg 1,2 procent og lukkede i 439,66. Dermed endte C20 i rekordniveau for 21. gang i år. Lundbeck, Novo Nordisk og Vestas fik pæne stigninger, mens Danisco tabte pusten efter præsentation af halvårsregnskab. Lundbecks amerikanske partner Forest var torsdag på opkøbstogt og købte bioselskabet Cerexa for 2,7 milliarder kroner Lundbeck steg 3,6 procent til kurs 152,8. Novo Nordisk fik hævet sit kursmål af Citigroup. Kursmålet lyder nu på 525 mod tidligere 445, og anbefalingen blev hævet til ""køb"" fra ""hold"". Samtidig tabte Novo sin verserende patenttvist med Pfizer, som Novo har sagsøgt grundet Pfizers inhalerbare insulin Exubera. Novo steg 2,5 procent højere i kurs 468. Vestas fik medvind, da en af konkurrenterne, GE Wind, der ejes af General Electric har meddelt, at kapacitetsudnyttelsen er fyldt for hele 2007. Dermed får Vestas mindre konkurrence i forbindelse med nye ordrer i 2007. Vestas steg 0,5 procent til kurs 238. Danisco var dagens taber på C20 indekset efter sit halvårsregnskab og faldt 2,2 procent til 497,0. Danisco fastholdt sine helårsforventninger for resultatprognosen, ingrediensdivisionen går forsat bedre, mens det går den modsatte vej for sukkerdivisionen. Markedet havde ventet en samlet opjustering. Det kommende C20 medlem F.L.Smidth har fået ordre på levering af maskiner samt supervision og reservedele til en ny cementproduktionslinie i Ægypten, der herefter vil være verdens største cementfabrik. Den samlede ordre har en værdi af 200 millioner kroner. FLS lukkede 1,2 procent højere i kurs 350.",2006-12-14T16:55:00+00:00
